name,slug,species,description,genetic_cultivation_description,references,hero_image_attribution,lab_data_attribution,thc_min,thc_max,cbd_min,cbd_max,featured_position,featured,avatar_image_url,hero_image_url,aliases,effects,flavors,effects_cleaned,flavors_cleaned,Ammonia,Apple,Apricot,Berry,Blue Cheese,Blueberry,Cheese,Chemical,Chestnut,Citrus,Coffee,Diesel,Earthy,Flowery,Grape,Grapefruit,Honey,Lavender,Lemon,Lime,Mango,Mint,Nutty,Orange,Pepper,Pine,Pineapple,Plum,Pungent,Sage,Skunk,Spicy/Herbal,Strawberry,Sweet,Tar,Tea,Tobacco,Tree Fruit,Tropical,Vanilla,Woody,Aroused,Creative,Energetic,Euphoric,Focused,Giggly,Happy,Hungry,Relaxed,Sleepy,Talkative,Tingly,Uplifted
24K Gold,24k-gold,hybrid,"24K Gold, also known as 24K or Kosher Tangie, is a cross of Tangie and Kosher Kush, bred by DNA Genetics in Amsterdam. The seed bank has identified three 24K Gold phenotypes; one of which has a prominent kush flavor with citrus undertones, and another with a Tangie-leaning flavor. 

According to DNA Genetics, the strain has an Indica-leaning lineage, but grows tall and produces above-average yields (450 to 550 grams per square meter, or 0.99 to 1.12 pounds per square foot) of resinous buds in a 63-70 day flowering period. The breeder also claims that 24K Gold produces a strong tangerine scent and kush-flavored buds. 24K Gold won third Place at the Milano Secret Cup in 2018. ",,DNA Genetics,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/273/avatar/original/1560881637-171130_45584_24K_1.jpg,https://images.weedmaps.com/strains/000/000/273/hero/original/1581445832-24K_DL.jpg,"['24K', 'Kosher Tangie']","[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '8769e57c-6dac-42a8-9a67-36cca36cc0dc', 'type': 'tag', 'name': 'Giggly'}, {'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}]","[{'id': 'b612923d-d473-4fe6-84af-9c1bc435e957', 'type': 'tag', 'name': 'Blueberry'}, {'id': '12fa7d6c-9b64-4e6d-858b-1ccdd7a1444a', 'type': 'tag', 'name': 'Mango'}, {'id': 'b9e78796-d17d-4c13-b834-7159b081244c', 'type': 'tag', 'name': 'Spicy/Herbal'}]","['Relaxed', 'Giggly', 'Creative']","['Blueberry', 'Mango', 'Spicy/Herbal']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
303 OG Kush,303-og-kush,hybrid,"303 OG Kush is a strain with various sources of origin. Below are several anecdotes about the strain's inception. 

Origin #1
303 OG, also called 303 Kush or 303 OG Kush, is reported to have first been cultivated in Colorado by the breeder known as Zombo and is an Indica-dominant cross between a Pre-'98 Bubba Kush and Reservoir ChemDawg IC3.

Reported by online sources to have been selected for its phenotypes by Colorado’s Hill Billy, the strain was named after Denver’s area code. Clones are the best option for cultivators looking to grow 303 OG, as seeds are not easily obtained.

Origin #2
The 303 OG grown by The Clinic in Colorado is an Indica-dominant cross between Kosher Kush and Ghost OG. Available throughout Colorado, flowers from The Clinic’s 303 OG strain provides a sweet and spicy flavor profile that’s popular for its OG characteristics, powerful body high, and cerebral effects.

The Clinic’s 303 OG Nug Run Sugar Budder won first place in 2014 for Best U.S. Concentrates at the Denver High Times Cannabis Cup. The Clinic’s 303 OG THC content has been tested as high as 20%, and the strain reportedly helps mitigate physical discomfort, apprehension, insomnia, and loss of appetite.
",,The Clinic,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/003/avatar/original/1562616792-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/003/hero/original/1583291418-303-OG-Kush.jpg,"['303 OG', '303 Kush']","[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}]","[{'id': '725787f5-ef95-4a71-9c39-cb5a345ff318', 'type': 'tag', 'name': 'Berry'}, {'id': 'df7855ae-6a11-4352-87c4-c6953d89acf1', 'type': 'tag', 'name': 'Pineapple'}, {'id': '736aad9c-4728-437d-b599-24d8a6c3fb9d', 'type': 'tag', 'name': 'Citrus'}]","['Relaxed', 'Energetic', 'Happy']","['Berry', 'Pineapple', 'Citrus']",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
3 Kings (Three Kings),3-kings-three-kings,hybrid,"While the original breeder of 3 Kings is unknown, the lineage of this sativa-leaning hybrid is made up of Headband, Sour Diesel, and OG Kush, three strains often crowned as royalty by the cannabis community. Available from several online seed banks, 3 Kings reportedly carries a tangy and sour aroma and moderate THC levels of about 16%.

Three Kings grows to a medium height, yielding moderate amounts of pale green colas glistening with frosty trichomes in an eight-to-nine-week flowering period. This strain is suitable for indoor or outdoor growing conditions, but is said to require some experience to properly manage.

Growers should expect 3 Kings seeds to harvest up to 600 grams per square meter indoors and up to 650 grams per plant outside. Some sources also suggest that certain samples of 3 Kings have tested for high levels of cannabichromene (CBC), a cannabinoid that has purported anti-inflammatory properties.",,,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/911/avatar/original/1569451331-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/911/hero/original/1585955733-ThreeKings_Strain_BR.png,[],"[{'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}, {'id': '532eb8d6-ccfa-4ca8-95f4-4b9386ee9575', 'type': 'tag', 'name': 'Hungry'}]","[{'id': '15eaa9a0-5b9d-485a-bea3-c55b0705e693', 'type': 'tag', 'name': 'Apple'}, {'id': '3a810517-86b4-4534-9e24-0f6d8d0ba6c0', 'type': 'tag', 'name': 'Blue Cheese'}, {'id': 'e5c1d481-0c53-4f89-8354-d8bb71bab322', 'type': 'tag', 'name': 'Diesel'}]","['Energetic', 'Focused', 'Hungry']","['Apple', 'Blue Cheese', 'Diesel']",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
3X Crazy,3x-crazy,hybrid,"3X Crazy, also known as Insane OG or Optimus Prime, is a three-way cross of OG Kush, Bubba Kush, and Granddaddy Purple. This strain is said to carry an aroma of grapes and pepper with earthy undertones.

Insane OG is the name Dr. Greenthumb, a Caifornia dispensary launched by Cypress Hill rapper B-Real, gave its version of 3X Crazy. Pacific Seed Bank said the strain has 21% THC, low CBD, and an herbal, sweet, peppery flavor profile.

3X Crazy is an indica-leaning hybrid that does best with an experienced grower. It has an average yield and flowers in seven to nine weeks indoors or outdoors. ",,Pacific Seed Bank,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/832/avatar/original/1567635205-171215_51778_InsaneOG_1.jpg,https://images.weedmaps.com/strains/000/000/832/hero/original/1583345851-3xCrazyInsaneOptimusPrime.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}]","[{'id': '725787f5-ef95-4a71-9c39-cb5a345ff318', 'type': 'tag', 'name': 'Berry'}, {'id': 'b612923d-d473-4fe6-84af-9c1bc435e957', 'type': 'tag', 'name': 'Blueberry'}, {'id': 'a289881c-cf93-4f0e-b62b-25b58ed73a93', 'type': 'tag', 'name': 'Lemon'}]","['Relaxed', 'Energetic', 'Happy']","['Berry', 'Blueberry', 'Lemon']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
501st OG,501st-og,hybrid,"With its Kush lineage, 501st OG is a stout and hearty cultivar that offers Indica-heavy effects, according to Rare Dankness Genetics.
 
A cross between Skywalker OG — itself a descendant of OG Kush — and Rare Dankness No. 1, the namesake plant of Colorado’s Rare Dankness Genetics, 501st OG has a flowering time between 50 and 65 days that results in sweet, purple flowers.",,Rare Dankness Genetics,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/402/avatar/original/1559931577-171030F_48405_501OGKush_1.jpg,https://images.weedmaps.com/strains/000/000/402/hero/original/1585181398-501St-OG_DL.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '8769e57c-6dac-42a8-9a67-36cca36cc0dc', 'type': 'tag', 'name': 'Giggly'}, {'id': 'd81a933b-fce8-4b97-b393-13c95de15a7e', 'type': 'tag', 'name': 'Aroused'}]","[{'id': 'd243ee93-f3c7-4a3f-8e97-e1118bc88192', 'type': 'tag', 'name': 'Skunk'}, {'id': 'e5c1d481-0c53-4f89-8354-d8bb71bab322', 'type': 'tag', 'name': 'Diesel'}, {'id': '7f7c4304-e131-4ddb-b50a-196bbadce83f', 'type': 'tag', 'name': 'Flowery'}]","['Relaxed', 'Giggly', 'Aroused']","['Skunk', 'Diesel', 'Flowery']",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
9lb Hammer,9lb-hammer,hybrid,"9lb Hammer (also 9 Pound Hammer) was created when breeder Jinxproof crossed his favorite strain Gooberry with the TGA Genetics Jesus OG Kush member of the OG family. These strains combined to form 9lb Hammer’s intoxicatingly fruity blend of grape flavors and autumn-colored foliage. 9lb Hammer was so named because it allegedly felt like a heavy hammer knocking users out cold. 

According to Jinxproof, 9lb Hammer packs a heavy sedative punch, due to large myrcene content and higher tested percentages of THC. ","Novice and advanced breeders will adore this cultivar for its heavy yield, shorter heights and fast flowering period of 50-60 days when grown indoors. 9lb Hammer reaches its full potential in sunny, warm environments.","Jinxproof Genetics, TGA Genetics",,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/002/avatar/original/1561657639-171205_40864_9lbHammer_SAF_1.jpg,https://images.weedmaps.com/strains/000/000/002/hero/original/1581016378-9lbHammer.jpg,"['9 Pound Hammer', 'Nine Pound Hammer', '9 lb Hammer']","[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '79b2d842-1197-448e-b74a-41fd13c2cb27', 'type': 'tag', 'name': 'Sleepy'}]","[{'id': 'da04d5f5-0601-4ebc-a2ef-cd23a944c537', 'type': 'tag', 'name': 'Ammonia'}, {'id': '15eaa9a0-5b9d-485a-bea3-c55b0705e693', 'type': 'tag', 'name': 'Apple'}, {'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}]","['Relaxed', 'Creative', 'Sleepy']","['Ammonia', 'Apple', 'Earthy']",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
Abracadabra,abracadabra,hybrid,"Little information exists online regarding the magical-sounding Abracadabra — it seems to have materialized from thin air. While the strain's breeder and genetics are unknown, online sources confirm Abracadabra's earthy, citrus flavors and balanced mental and physical effects.","While hardly any growing information is available online, Abracadabra is reportedly best left to experienced cultivators.",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '79b2d842-1197-448e-b74a-41fd13c2cb27', 'type': 'tag', 'name': 'Sleepy'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}]","[{'id': '7f7c4304-e131-4ddb-b50a-196bbadce83f', 'type': 'tag', 'name': 'Flowery'}, {'id': '4111e944-1514-4698-a9fa-924e55289ac3', 'type': 'tag', 'name': 'Honey'}, {'id': '9f52b69a-8a25-4501-8dc9-2cdfa6b078a0', 'type': 'tag', 'name': 'Sweet'}]","['Relaxed', 'Sleepy', 'Focused']","['Flowery', 'Honey', 'Sweet']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
Abusive OG,abusive-og,hybrid,"Abusive OG, or simply Abusive, was created or discovered by the breeders at Devil’s Harvest Krew sometime in the early 2000s. The cultivar is said to be bred from a rare cut of OG Kush, also called LA Kush for the city where it was created. Its genetic origins, however, are mostly unknown. Contrary to its name, consumers report that Abusive OG produces tranquil euphoria delivered with a fragrant, pine-smelling aroma.

New and experienced growers alike will have an easy time cultivating Abusive OG, which has a reputation for low yields. Abusive OG flourishes with Screen of Green (SCROG) methods and grows into a short, squat plant when it reaches full maturity in 60-70 days. Once bloomed, the cultivar showcases tight, compact nugs covered in trichomes and orange pistils.",,Devil's Harvest Krew,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/004/avatar/original/1564001045-180209_45571_AbusiveOG_1.jpg,https://images.weedmaps.com/strains/000/000/004/hero/original/1585181273-Abusive-OG_DL.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}]","[{'id': '5a360f3b-c4df-44a7-a34e-fd7b7f69253b', 'type': 'tag', 'name': 'Orange'}, {'id': '15eaa9a0-5b9d-485a-bea3-c55b0705e693', 'type': 'tag', 'name': 'Apple'}, {'id': '43af30ae-0332-4b0d-8ec2-64d40fd590f5', 'type': 'tag', 'name': 'Apricot'}]","['Relaxed', 'Creative', 'Euphoric']","['Orange', 'Apple', 'Apricot']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Acapulco Gold,acapulco-gold,hybrid,"While its exact genetics remain a mystery, Acapulco Gold is a popular and historically significant sativa-leaning hybrid that thrives in outdoor grow environments and is indigenous to Acapulco, Mexico. As indoor cultivation becomes the go-to method for many growers, the original Acapulco Gold cultivar is considered to be a bit of a rarity within modern-day cannabis cultivation circles. 

Known to produce an energetic and cerebral high, a true Acapulco Gold plant is distinguishable by its sativa growth traits, yielding chunky colas that range from dark green to golden brown in color. Carrying an aroma that has been described as burnt toffee, Acapulco Gold is reported to produce an earthy, pungent taste upon consumption. 

Although the strain is best suited for outdoor growing conditions, cultivators should have less difficulty with the newer generation of Acapulco Gold seeds. Following a 60-to-70-day flowering period, one Acapulco Gold strain is reported to yield up to 500 grams per square meter indoors and, if properly harvested outdoors in the Northern Hemisphere by mid-October, up to 1 1/2 kilograms per plant.",,,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/643/avatar/original/1565129945-171013_52640_AcapulcoGold_SAF_1.jpg,https://images.weedmaps.com/strains/000/000/643/hero/original/1581016440-AcapulcoGold.jpg,[],"[{'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}]","[{'id': 'b612923d-d473-4fe6-84af-9c1bc435e957', 'type': 'tag', 'name': 'Blueberry'}, {'id': '7f7c4304-e131-4ddb-b50a-196bbadce83f', 'type': 'tag', 'name': 'Flowery'}, {'id': '9f52b69a-8a25-4501-8dc9-2cdfa6b078a0', 'type': 'tag', 'name': 'Sweet'}]","['Creative', 'Energetic', 'Focused']","['Blueberry', 'Flowery', 'Sweet']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
AC/DC,ac-dc,hybrid,"ACDC is a phenotype of the high-CBD strain Cannatonic (also known as the CBD Queen) that was selected by Dr. William Courtney after receiving a packet of seeds from its original breeder, Spain-based Resin Seeds. 

The resulting ACDC, which is only available on the market as a clone, is exceptionally high in CBD, with a 20:1 CBD-to-THC ratio, according to testing from SC Labs. Resin Seeds describes the plant’s aroma as a mix of cherry, diesel, gas, and Mandarin peel. Myrcene is a dominant terpene in ACDC.

ACDC is a parent to several CBD-rich hybrids. Sin City Seeds offers four ACDC hybrids with varying CBD-to-THC ratios — Thunderstruck (an S1 hybrid of ACDC and ACDC), Treasure Island (Swiss Gold and ACDC), HarleSin (ACDC and Harlequin), and Incredible Power (OmRita, BluePower, and ACDC). 

Other notable hybrids include TOCI (ACDC and Xena), EMT (ACDC and Canna-Tsu) from Med Tree Seeds, Valhalla (ACDC and Sky Dragon) from Love Genetics, and CBD Rich Blessing from Bodhi Seeds. A hybrid of ACDC and a CBD-rich Good Medicine male, CBD Rich Blessing has, in turn, been used by its breeder to cultivate several other CBD-rich hybrids.

The strain reportedly grows to average height, producing thin leaves and medium yields of big, dewy buds. The strain grows best indoors and in warm environments. It’s reported to flower in 63-70 days, possibly longer in colder areas. ACDC can be finicky, so novice and intermediate growers with limited grow space may want to look elsewhere for a high-CBD plant. 

The ACDC clone typically produces short, bushy plants with thin leaves that tend to grow about four feet tall. An ACDC clone Harborside submitted for genetic testing by Phylos Bioscience showed moderate levels of genetic variation.",,"Resin Seeds, Phylos Bioscience, SC Labs, Harborside",,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/005/avatar/original/1548880346-171117_5566_ACDC.jpg,https://images.weedmaps.com/strains/000/000/005/hero/original/1581016589-ACDC.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}, {'id': '59421d5b-91e7-45ac-843a-551975f0ac6f', 'type': 'tag', 'name': 'Uplifted'}]","[{'id': '3a810517-86b4-4534-9e24-0f6d8d0ba6c0', 'type': 'tag', 'name': 'Blue Cheese'}, {'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}, {'id': '4111e944-1514-4698-a9fa-924e55289ac3', 'type': 'tag', 'name': 'Honey'}]","['Relaxed', 'Happy', 'Uplifted']","['Blue Cheese', 'Earthy', 'Honey']",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
